# results of version 1.04k
#Nennw C_LCR   ESR_LCR |168-1 168-2 168-3|168a-4 168a-5 168a-6|168p-7 168p-8 168p-9|328-10 328-11 328-12|328p-13 328p-14 328p-15
#2.2uF                 |                 |                    |                    |                    |                    
2.2e-6 2.18e-6   0.35    .32   .32   .33   .36    .44    .40    .41    .43    .32    .29    .29    .39    .40     .37     .38
#2x2.2uF               |                 |                    |                    |                    |                      
4.4e-6 4.19e-6   0.25    .22   .22   .07   .16    .21    .23    .19    .16    .19    .22    .20    .25    .22     .19     .23
# Folie 100V           |                 |                    |                    |                    |                           
10e-6  9.91e-6   0.06    .08   .08   .03   .04    .08    .14    .04    .08    .05    .07    .03    .10    .04     .08     .02
#Tantal                |                 |                    |                    |                    |                      
10e-6  11.7e-6   0.86    .90   .90   .72   .83    .80    .94    .82    .85    .75    .76    .78    .85    .81     .90     .80
#Elko,350V             |                 |                    |                    |                    |                         
#10e-6  9.37e-6   1.72    1.8   1.8   1.7   1.8    1.8    1.8    1.8    1.8    1.6    1.7    1.8    1.9    1.8     1.9     1.8
#Elko, 25V             |                 |                    |                    |                    |                         
47e-6  44.9e-6   0.93    1.0   1.0   .89   1.0    1.0    1.2    1.1    1.1    .91    1.0    .89    1.2    1.0     1.1     1.1
#Elko, Bipolar         |                 |                    |                    |                    |                             
68e-6  64.1e-6   0.09    .10   .10   .02   .07    .07    .10    .10    .09    .09    .09    .06    .08    .09     .08     .13
#Elko 100uF seriell    |                 |                    |                    |                    |                                  
50e-6  81.3e-6   0.62    .68   .68   .58   .65    .64    .67    .69    .66    .62    .68    .63    .73    .72     .70     .74
#Elko einzeln          |                 |                    |                    |                    |                            
100e-6 161.5e-6  0.29    .30   .30   .25   .27    .31    .32    .32    .34    .27    .30    .26    .36    .34     .36     .36
#elko 63V              |                 |                    |                    |                    |                        
220e-6 234.5e-6  0.09    .08   .08   .07   .07    .09    .10    .12    .11    .08    .08    .08    .11    .13     .12     .14
#elko 50V              |                 |                    |                    |                    |                        
330e-6 313.1e-6  0.07    .06   .06   .04   .04    .07    .06    .07    .08    .06    .05    .05    .12    .10     .10     .10
#elko 35V              |                 |                    |                    |                    |                        
470e-6 440.7e-6  0.02    .03   .03   .02   .00    .03    .03    .02    .03    .02    .01    .01    .05    .03     .05     .04
#elko 3V               |                 |                    |                    |                    |                       
500e-6 423.2e-6  0.43    .47   .47   .47   .52    .49    .50    .54    .53    .45    .48    .48    .57    .55     .49     .57
#elko 35V              |                 |                    |                    |                    |                        
1e-3   961.9e-6  0.01    .02   .02   .02   .00    .02    .02    .02    .02    .02    .03    .02    .04    .03     .03     .03
