# Capacity measurement with mega8-1, C_H_KORR=5, COMP_SLEW1=0
# 1=printed, 2=Peaktech, 3=LCR,  4=mega8-1, 5=mega8-2, 6=mega8-3, 7=m8A-4,  8=m8A-5,  9=m8A-6,  10=m8L-7, 11=m8L-8, 12=m8L-9
32e-12      34e-12      34e-12    34e-12    34e-12    32e-12      33e-12    34e-12    34e-12    34e-12    34e-12    34e-12
56e-12      58e-12      57e-12    56e-12    56e-12    54e-12      55e-12    57e-12    57e-12    55e-12    55e-12    56e-12
100e-12     103e-12     103e-12   103e-12   103e-12    99e-12     101e-12   104e-12   104e-12   102e-12   101e-12   103e-12
220e-12     228e-12     226e-12   228e-12   228e-12   220e-12     223e-12   228e-12   228e-12   224e-12   222e-12   227e-12
410e-12     402e-12     393e-12   394e-12   394e-12   382e-12     386e-12   394e-12   392e-12   389e-12   384e-12   391e-12
560e-12     550e-12     559e-12   561e-12   561e-12   544e-12     550e-12   562e-12   562e-12   553e-12   548e-12   558e-12
715e-12     727e-12     720e-12   729e-12   728e-12   707e-12     714e-12   729e-12   728e-12   718e-12   711e-12   724e-12
1000e-12    1014e-12    1004e-12  1015e-12  1016e-12   986e-12     996e-12  1017e-12  1017e-12   999e-12   992e-12  1010e-12
1800e-12    1.85e-9     1814e-12  1828e-12  1829e-12  1776e-12    1792e-12  1830e-12  1830e-12  1798e-12  1786e-12  1818e-12
2.7e-9      2.73e-9     2701e-12  2735e-12  2735e-12  2655e-12    2681e-12  2737e-12  2732e-12  2692e-12  2670e-12  2719e-12
3.3e-9      3.32e-9     3.205e-9  3265e-12  3265e-12  3165e-12    3204e-12  3267e-12  3265e-12  3212e-12  3191e-12  3246e-12
7870e-12    7.94e-9     7880e-12  7999e-12  7990e-12  7763e-12    7837e-12  7983e-12  7975e-12  7856e-12  7794e-12  7932e-12
10e-9       10.10e-9    10.012e-9 10.15e-9  10.14e-9  9849e-12    9949e-12  10.14e-9  10.15e-9  9970e-12  9903e-12  10.08e-9
18e-9       18.57e-9    18.42e-9  18.72e-9  18.73e-9  18.17e-9    18.35e-9  18.71e-9  18.70e-9  18.47e-9  18.30e-9  18.57e-9
33e-9       33.21e-9    32.96e-9  33.12e-9  33.14e-9  32.16e-9    32.46e-9  33.14e-9  33.11e-9  32.59e-9  32.33e-9  32.91e-9
56e-9       56.4e-9     55.89e-9  56.00e-9  56.09e-9  54.39e-9    54.95e-9  56.06e-9  56.02e-9  55.11e-9  54.68e-9  55.61e-9
100e-9      102.2e-9    101.26e-9 102.6e-9  102.6e-9  99.52e-9    100.5e-9  102.5e-9  102.5e-9  100.8e-9  100.1e-9  101.8e-9
330e-9      336.9e-9    333.2e-9  335.1e-9  335.1e-9  325.4e-9    328.6e-9  335.2e-9  335.0e-9  329.4e-9  327.2e-9  333.0e-9
660e-9      675e-9      669e-9    672.3e-9  672.4e-9  652.8e-9    659.8e-9  673.0e-9  672.8e-9  662.0e-9  656.8e-9  668.4e-9
1e-6        1066e-9     1054e-9   1067e-9   1068e-9   1036e-9     1046e-9   1067e-9   1067e-9   1049e-9   1041e-9   1060e-9
