#Capacity measurement with atmega8
# 1= printed, 2=Peaktech, 3=LCR,   4=original SW
220e-12      228e-12     226e-12   270e-12 
410e-12      402e-12     393e-12   470e-12 
715e-12      727e-12     720e-12   820e-12 
1000e-12     1014e-12    1004e-12  1.18e-9 
3.3e-9       3.32e-9     3.205e-9  3.78e-9 
7870e-12     7.94e-9     7880e-12  8.98e-9 
10e-9        10.10e-9    10.012e-9 11.38e-9 
18e-9        18.57e-9    18.42e-9  20.96e-9 
33e-9        33.21e-9    32.96e-9  37.51e-9 
56e-9        56.4e-9     55.89e-9  63.55e-9  
100e-9       102.2e-9    101.26e-9 115.0e-9 
330e-9       336.9e-9    333.2e-9  377.7e-9 
660e-9       675e-9      669e-9    759.0e-9   
1e-6         1066e-9     1054e-9   1190e-9 
2.2e-6       2.198e-6    2.175e-6  2.46e-6  
4.4e-6       4.23e-6     4.189e-6  4.73e-6 
11e-6        10.77e-6    10.64e-6  12.33e-6 
22e-6        21.94e-6    21.65e-6  25.25e-6 
44e-6        46.9e-6     46.60e-6  54.64e-6 
68e-6        67.9e-6     63.70e-6  78.13e-6
66e-6        70.9e-6     70.44e-6  82.86e-6 
88e-6        92.7e-6     92.11e-6  108.9e-6 
110e-6       117.8e-6    117.0e-6  138.7e-6 
132e-6       139.5e-6    138.8e-6  164.4e-6 
150e-6       148.5e-6    137.67e-6 172.0e-6 
200e-6       199.4e-6    191.8e-6  233.1e-6
470e-6       445e-6      428e-6    550.7e-6 
1000e-6      996e-6      961.7e-6  1205e-6 
2200e-6      2.20e-3     2.10e-3   2772e-6 
4700e-6      4.75e-3     4.62e-3   5974e-6 
10e-3        9.76e-3     9.59e-3   12329e-6 




