# measurement without calibration AUTOSCALE, REF_R_KORR=3 --------------------------------------------------------------------------------
#R      m168-1  m168-2  m168-3   m168A-4  m168A-5  m168A-6   m168P-7  m168P-8  m168P-9   m328-10 m328-11 m238-12  m328P-13 m328P-14 m328P-15
1       1.1     1.1     1.1      1.1      1.1      1.1       1.1      1.1      1.2      1.2      1.1      1.1      1.0      1.1      1.2
1.5     1.7     1.6     1.7      1.6      1.6      1.6       1.6      1.7      1.7      1.7      1.6      1.5      1.6      1.7      1.7
2.2     2.4     2.3     2.4      2.3      2.3      2.4       2.3      2.4      2.3      2.4      2.3      2.2      2.3      2.4      2.4
3.3     3.4     3.4     3.4      3.4      3.5      3.5       3.4      3.5      3.5      3.5      3.4      3.4      3.3      3.5      3.5
5       5.2     5.2     5.2      5.2      5.2      5.3       5.1      5.1      5.1      5.3      5.1      5.0      5.1      5.3      5.2
6.8     7.0     7.1     7.0      7.0      7.0      7.0       6.9      7.0      7.0      7.1      6.9      6.8      6.8      7.0      7.0
10      10.1    10.3    10.1     10.3     10.2     10.4      10.0     10.2     10.1     10.4     10.2     10.0     10.0     10.4     10.2
13.6    13.7    13.9    13.7     13.9     13.8     14.0      13.6     13.7     13.8     13.9     13.8     13.6     13.5     14.0     13.8
20      20.1    20.4    20.1     20.6     20.4     20.6      19.9     20.2     20.3     20.4     20.4     20.0     19.8     20.7     20.3
30      30.4    30.6    30.2     30.7     30.5     30.7      30.0     30.3     30.3     30.6     30.5     29.9     29.7     31.0     30.6
60      60.7    61.2    60.4     61.3     61.0     61.4      59.6     60.5     60.6     61.1     60.7     59.5     59.5     62.0     61.2
120     121.6   122.4   120.7    122.7    122.1    123.0     119.0    121.2    121.1    122.4    121.5    119.0    118.7    123.9    122.4
240     239.1   238.8   238.8    238.4    238.3    238.8     238.7    239.2    238.8    238.5    238.8    239.0    239.4    239.2    238.8
340     339.3   338.4   338.1    338.4    338.4    338.5     338.0    338.9    338.9    339.4    338.7    338.8    339.0    339.3    338.7
680     679.4   679.2   678.9    679.6    678.4    678.4     678.5    678.5    678.5    678.3    679.8    678.7    678.7    679.6    678.1
1360    1362    1359    1358     1359     1362     1359      1359     1359     1359     1362     1360     1360     1360     1360     1363
2040    2046    2046    2040     2039     2046     2041      2042     2041     2042     2047     2042     2042     2043     2041     2047
2720    2725    2725    2725     2725     2725     2720      2718     2725     2730     2730     2727     2727     2727     2726     2730
3900    3841    3820    3867     3800     3824     3800      3907     3854     3852     3829     3850     3931     3942     3778     3821
7800    7705    7648    7729     7604     7652     7601      7790     7704     7696     7659     7706     7851     7872     7564     7665
11e3    10860   10800   10900    10700    10790    10720     10980    10860    10860    10810    10870    11070    11100    10680    10810
15600   15420   15340   15450    15230    15310    15180     15550    15410    15400    15360    15470    15720    15800    15200    15340
22e3    22400   22560   22400    22660    22540    22720     22120    22400    22360    22620    22410    22020    22000    22850    22540
#R      m168-1  m168-2  m168-3   m168A-4  m168A-5  m168A-6   m168P-7  m168P-8  m168P-9   m328-10 m328-11 m238-12  m328P-13 m328P-14 m328P-15
44e3    44700   44770   44400    45040    44730    45070     43910    44430    44490    44880    44650    43800    43580    45350    44840
50e3    50830   51030   50530    51150    50890    51260     49960    50590    50610    51080    50790    49820    49600    51530    51080
66e3    66820   67230   66540    67480    67030    67440     65690    66520    66660    67190    66790    65490    65340    68050    67210
88e3    89160   89590   88600    89890    89410    90020     87460    88740    88880    89730    88950    87650    86930    90530    89680
100e3   101100  101900  100800   102200   101700   102500    99510    101000   101100   102100   101300   99120    98960    103000   102100
135e3   134000  134100  134400   134100   134000   134200    134200   134400   134100   134400   134000   134000   134000   134400   134400
200e3   198800  199100  199100   199400   198700   199100    199100   199100   199100   199100   198700   198600   198700   199100   199000
270e3   268900  268900  269300   268900   268800   268900    268900   268900   268900   268900   268400   268900   269000   268900   268400
470e3   470400  471300  470400   470400   470400   470400    470300   469600   470800   471200   470200   471600   469500   470100   469800
940e3   942500  943100  942500   940500   942500   942500    941900   942500   941400   942500   942500   940600   940400   941500   942400
1e6     998.5e0 999.0e3 998.5e3  996.7e3  998500   998500    997.1e3  998.5e3  998.2e3  998.5e3  998.5e3  993.3e3  996.3e3  998.3e3  998.4e3
2e6     1968e3  1952e3  1976e3   1942e3   1956e3   1942e3    2000e3   1970e3   1969e3   1952e3   1966e3   2008e3   2013e3   1932e3   1949e3
3e6     2950e3  2932e3  2964e3   2920e3   2933e3   2915e3    2994e3   2955e3   2952e3   2930e3   2948e3   3008e3   3018e3   2899e3   2930e3
4e6     3928e3  3915e3  3951e3   3897e3   3913e3   3887e3    3988e3   3941e3   3939e3   3907e3   3929e3   4010e3   4029e3   3868e3   3909e3
5e6     4923e3  4894e3  4940e3   4862e3   4896e3   4862e3    4991e3   4926e3   4923e3   4881e3   4916e3   5015e3   5025e3   4836e3   4896e3
10e6    9871e3  9.808e6 9.883e6  9764e3   9.817e6  9746e3    10.01e6  9871e3   9908e3   9.853e6  9929e3   10.08e6  10.14e6  9773e3   9843e3
20e6   19.62e6  19.68e6 19.66e6  19.37e6  19.48e6  19.41e6   19.82e6  19.58e6  19.65e6  19.68e6  19.82e6  20.17e6  20.18e6  19.48e6  19.69e6
30e6   29.25e6  29.25e6 29.33e6  28.66e6  29.12e6  29.03e6   29.30e6  29.33e6  29.31e6  29.39e6  29.44e6  30.01e6  29.98e6  28.98e6  29.21e6
50e6   48.19e6  48.24e6 48.40e6  47.54e6  47.79e6  47.79e6   48.11e6  48.19e6  48.19e6  48.73e6  48.63e6  49.47e6  49.73e6  48.15e6  48.33e6
#        +        +       +        +        +        +         +        +        +        +        +        +        +        +        +

