#with AUTO_CAL , AUTOSCALE_ADC, REF_R_KORR=3 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#R      m168-1  m168-2  m168-3   m168A-4  m168A-5  m168A-6   m168P-7  m168P-8  m168P-9   m328-10 m328-11 m238-12  m328P-13 m328P-14 m328P-15
1       1.1     1.0     1.1      1.2      1.2      1.2       1.1      1.2      1.2      1.2      1.1      1.1      1.1      1.0      1.1
1.5     1.6     1.6     1.6      1.6      1.7      1.6       1.7      1.7      1.6      1.7      1.5      1.5      1.6      1.6      1.7
2.2     2.3     2.3     2.3      2.3      2.3      2.3       2.4      2.4      2.2      2.4      2.3      2.2      2.2      2.3      2.3
3.3     3.3     3.3     3.3      3.4      3.4      3.5       3.4      3.4      3.4      3.5      3.4      3.4      3.3      3.3      3.4
5       5.1     5.2     5.1      5.1      5.1      5.1       5.1      5.1      5.1      5.2      5.1      5.1      5.1      5.1      5.1
6.8     6.9     6.9     6.9      6.8      6.9      6.8       6.9      6.9      6.9      6.9      6.8      6.8      6.9      6.9      6.9
10      10.0    10.1    10.0     10.0     10.0     10.2      10.0     10.0     10.0     10.1     10.1     10.2     10.0     10.0     10.0
13.6    13.6    13.6    13.6     13.6     13.6     13.7      13.6     13.6     13.6     13.6     13.6     13.6     13.5     13.6     13.6
20      20.0    20.0    20.0     20.1     20.1     20.2      20.0     20.0     20.0     20.0     20.1     20.1     19.9     20.0     19.8
30      30.1    30.0    30.0     30.0     30.0     30.0      30.0     30.0     29.9     30.1     30.0     30.0     29.9     30.0     29.8
60      60.2    59.9    59.9     59.8     59.8     60.0      59.7     59.7     59.8     59.8     59.9     59.6     59.9     59.9     59.7
120     120.1   119.5   119.6    119.6    119.4    120.0     119.2    119.8    119.3    119.6    119.4    119.3    119.3    119.5    119.2
240     239.5   239.4   239.3    239.4    239.8    239.2     238.7    239.4    238.9    239.0    239.1    239.0    239.4    240.1    239.3
340     339.9   339.1   338.7    339.5    339.7    338.7     338.2    339.2    339.1    339.9    339.0    338.9    338.9    340.0    339.6
680     680.3   680.5   679.8    679.9    678.8    679.2     678.8    679.0    678.7    679.1    680.0    678.9    678.6    680.6    679.2
1360    1364    1365    1361     1360     1361     1360      1360     1360     1360     1362     1360     1360     1361     1362     1365
