# measurement of low resistance with GetESR --------------------------------------------------------------------------------
#R      m168-1  m168-2  m168-3   m168A-4  m168A-5  m168A-6   m168P-7  m168P-8  m168P-9   m328-10 m328-11 m238-12  m328P-13 m328P-14 m328P-15
0.216   0.22     0.23    0.22     0.22     0.19     0.21      0.22     0.23     0.20     0.23     0.21     0.19     0.24     0.20     0.21
0.50    0.52     0.51    0.52     0.52     0.48     0.49      0.51     0.51     0.49     0.52     0.51     0.46     0.52     0.52     0.50
0.904   0.93     0.91    0.92     0.93     0.89     0.89      0.89     0.94     0.90     0.92     0.92     0.88     0.91     0.94     0.92
1.00    1.02     1.02    1.03     1.02     0.99     1.00      0.99     1.06     1.02     1.04     1.04     1.00     1.02     1.03     1.00
1.804   1.86     1.81    1.85     1.82     1.83     1.82      1.78     1.86     1.81     1.86     1.87     1.81     1.84     1.87     1.85
2.691   2.73     2.75    2.76     2.73     2.67     2.70      2.72     2.73     2.70     2.78     2.73     2.68     2.73     2.76     2.73
3.39    3.45     3.45    3.44     3.40     3.41     3.40      3.41     3.45     3.40     3.47     3.46     3.39     3.43     3.48     3.46
4.08    4.13     4.13    4.15     4.14     4.13     4.12      4.13     4.16     4.12     4.15     4.15     4.06     4.11     4.17     4.14
5.00    5.05     5.07    5.09     5.01     4.98     5.05      5.02     5.02     5.01     5.08     5.07     5.05     5.04     5.00     5.01
6.78    6.82     6.88    6.88     6.76     6.87     6.82      6.86     6.84     6.81     6.86     6.85     6.77     6.81     6.88     6.84
8.17    8.20     8.19    8.29     8.19     8.23     8.20      8.20     8.21     8.19     8.25     8.22     8.15     8.16     8.29     8.20
9.17    9.20     9.23    9.24     9.16     9.24     9.22      9.21     9.22     9.20     9.25     9.23     9.12     9.16     9.30     9.19
#R      m168-1  m168-2  m168-3   m168A-4  m168A-5  m168A-6   m168P-7  m168P-8  m168P-9   m328-10 m328-11 m238-12  m328P-13 m328P-14 m328P-15
#        +        +       +        +        +        +         +        +        +         +       +        +        +        +         

