#         125kHz                          
#R     2:m8-1   3:m8-2   4:m8-3   5:m8-4   6:m8-5   7:m8-6   8:m8-7   9:m8-8   10:m8-9 11:m168 12:m168as  
1       1.0       1.0      1.2      0.9      1.2      0.9      1.0      1.0      1.0     1.0     0.9     
#
1.5     1.4       1.7      1.4      1.5      1.8      1.4      1.4      1.5      1.6     1.6     1.4    
#
2.2     2.1       2.3      2.1      2.2      2.6      2.1      2.1      2.1      2.2     2.2     2.1    
#
3.3     3.3       3.4      3.5      3.2      3.4      3.4      3.3      3.3      3.4     3.1     3.1    
#
5       5.0       5.2      4.9      5.3      5.5      4.9      5.0      5.1      5.0     5.0     5.0     
#
6.8     6.9       7.0      7.0      6.9      7.1      7.1      6.9      6.9      6.8     6.8     6.8    
#
10      10.4      10.3     10.2     10.6     10.4     10.3     10.3     10.3     10.2    9.9   10.0    
#
13.6    13.9      13.6     13.7     13.7     13.6     13.9     13.9     13.8     13.6   13.5   13.5    
#
20      20.2      20.0     20.3     20.3     20.0     20.3     20.3     20.2     20.3   19.9   20.1    
#
30      30.1      30.2     30.1     29.8     30.4     30.0     30.2     30.0     30.2   29.9   30.0     
#
60      60.0      60.2     60.3     60.1     60.3     60.0     60.1     60.0     59.9   59.8   60.1    
#
120    119.8     119.8    120.8    119.7    119.8    119.8    120.2    119.7    119.9  119.7   120.1    
#R     2:m8-1   3:m8-2   4:m8-3   5:m8-4   6:m8-5   7:m8-6   8:m8-7   9:m8-8   10:m8-9 11:m168 12:m168as  
240    239.2     240.1    240.7    240.0    239.8    239.5    239.2    239.3    239.3  239.6   239.0    
#
340    339.7     339.9    340.9    340.6    339.5    339.8    339.1    339.0    338.9  339.5   338.8    
#
680    679.9     678.6    680.3    679.8    679.4    679.8    679.1    680.4    680.2  679.6   678.5    
#
1360    1363     1357     1354     1360     1358     1361     1361     1363     1363   1362    1360     
#
2040    2044     2037     2036     2036     2041     2037     2042     2047     2042   2049    2048     
#
2720    2723     2715     2706     2723     2719     2729     2719     2731     2722   2731    2728     
#R     2:m8-1   3:m8-2   4:m8-3   5:m8-4   6:m8-5   7:m8-6   8:m8-7   9:m8-8   10:m8-9 11:m168 12:m168as  
3900    3900     3913     3887     3905     3911     3914     3911     3915     3908   3936    3888     
#
7800    7802     7784     7750     7833     7833     7833     7826     7833     7826   7922    7791     
#
11e3   11010    11010    11040    11030    11060    11020    11050    11060    11060  11160   11010     
#
15600  15610    15630    15620    15600    15620    15610    15620    15670    15620  15920   15640    
#
22e3   21970    21680    21840    21780    21730    21830    21710    21650    21700  22060   22120    
#R     2:m8-1   3:m8-2   4:m8-3   5:m8-4   6:m8-5   7:m8-6   8:m8-7   9:m8-8   10:m8-9 11:m168 12:m168as  
44e3   43720    43730    43990    43490    43480    43480    43520    43470    43580  43780   43780    
#
50e3   49720    49800    49970    49590    49580    49580    49580    49540    49600  49670   49780    
#
66e3   65480    65470    65770    65460    65480    65170    65460    65170    65460  65800   65800    
#
88e3   87280    87170    87480    87150    87340    86830    87180    87010    87150  87480   87740    
#
100e3  99690    99350    100e3    99060    99350    99150    99360    99010    99430  99820   99970   
#
135e3  134000  134400   134800   134000   134000   134000   134000   133900   134000  134700   134000    
#R     2:m8-1   3:m8-2   4:m8-3   5:m8-4   6:m8-5   7:m8-6   8:m8-7   9:m8-8   10:m8-9 11:m168 12:m168as  
200e3  198600  199400   199100   199100   199100   198700   198600   198600   198600  199400   198700   
#
270e3  268400  269000   269500   268900   268400   268400   268400   268300   268400  269300   268600   
#
470e3  470300  468600   470300   469400   468600   470100   469600   468600   470300  469800   469100   
#
940e3  940400  938200   937600   938300   938400   940300   940300   940300   940400  943700   943000   
#
1e6    996800  994200   993900   994000   993900   996200   996200   996200   996200  1001e3   1000e3    
#R     2:m8-1   3:m8-2   4:m8-3   5:m8-4   6:m8-5   7:m8-6   8:m8-7   9:m8-8   10:m8-9 11:m168 12:m168as  
2e6    1990e3  1990e3   1978e3   1990e3   1990e3   1996e3   1993e3   1996e3   1991e3  2004e3   1986e3    
#
3e6    2977e3  2989e3   2965e3   2989e3   2988e3   2990e3   2988e3   2989e3   2986e3  3016e3   2984e3    
#
4e6    3965e3  3962e3   3957e3   3966e3   3982e3   3983e3   3980e3   3982e3   3977e3  4025e3   3975e3    
#
5e6    4938e3  4964e3   4935e3   4967e3   4976e3   4993e3   4965e3   4995e3   4965e3  5036e3   4976e3    
#
10e6   9898e3  9989e3   9915e3   9880e3   9987e3   9903e3   9899e3   9981e3   9981e3  10.10e6   9986e3   
#
20e6  19.60e6  19.59e6  19.63e6  19.59e6  19.97e6  19.60e6  19.87e6  20.07e6  20.07e6 20.81e6  20.08e6 
#
30e6  29.67e6  29.71e6  29.67e6  29.67e6  29.67e6  29.67e6  29.67e6  29.67e6  29.67e6 30.70e6  29.66e6 
#
50e6  48.13e6  48.05e6  48.19e6  48.04e6  48.98e6  48.04e6  48.82e6  51.26e6  50.89e6 54.10e6  49.33e6 

